Caption_Time2,Openness,IRT,Growth,CSE,CPI,Judges,DT,OpenBin,IRTBin,GrowthBin,CSEBin,CPIBin,JudgesBin,DTBin
the day I felt I was flying,4.14,3.5,4,4.33,3.67,3.5,12.41,3,2,2,3,2,2,3
'they always said that my big ears wouldn't be useful' -Dumbo,2,3.5,3.6,3.67,3,4.75,4.72,1,2,1,2,1,3,2
‘ Remember Me!',3.57,3.83,5,4.33,3.67,3.5,9.01,2,3,3,3,2,2,3
Jumpman,3.29,2.33,3.75,3,3.33,3.75,4.27,1,1,2,1,2,3,1
kobe,2.43,2.5,1.6,2.33,2.33,2.75,1,1,1,1,1,1,1,1
"Let's Dunk it, So Just Trunk it",3.86,4.5,3.6,4,3.67,3.5,7.63,2,3,1,2,2,2,2
Red bull gives you wings,4.14,4.17,4.4,3.67,3,5,,3,3,3,2,1,3,
( ?° ?? ?°),,,,,,3,7.05,,,,,,2,2
"]elephant using trunk to suck a ball,",2,3,3,3.67,3.33,3,12.79,1,1,1,2,2,2,3
"123AD Michael the elephant Jordan, from the free throw, dunks on some lil people and wrecks everyone. He had a 2000m run up from mars and had to fight aliens before this moment.",3.43,3,4.25,4,3.33,4.75,2.6,2,1,3,2,2,3,1
A Basketball Game,2.29,2.67,3,2,2.67,1,2.85,1,1,1,1,1,1,1
A bouncing elephant,2,3.67,3.8,4,3.33,2.25,6.6,1,2,2,2,2,1,2
a flamboant elephant enjoying some physical activity during the day with his friends supporting him,2,3,4.6,3.67,3.33,3.25,12.97,1,1,3,2,2,2,3
a fox watches as his friend the elephant slam dunks the basketball,3.14,3,3,3,3,1.75,2.5,1,1,1,1,1,1,1
A Friendly competition.,2.86,2.5,3,3,3.67,2.75,2.86,1,1,1,1,2,1,1
A frog and fox are watching a flying elephant to make a basket,3,1.83,3.4,2,2,2.25,4.67,1,1,1,1,1,1,2
aim for the sky doesn't matter if you fall short,3.71,3,4.2,4,4.33,5.25,1.8,2,1,3,2,3,3,1
Air Elephant,3,3,3,3,3,2,2.13,1,1,1,1,1,1,1
